#Coord Suppliers
# 	1	 34.3387		233.9756	
# 	2	197.2841		217.0396	
# 	3	440.0953		161.5488	
# 	4	225.5042		 21.6153	
# 	5	120.7975		149.9648	
# 	6	305.6535		241.1217	
# 	7	171.4235		 19.7809	
# 	8	129.6655		272.8781	
# 	9	 96.0234		135.6372	
# 	10	419.0427		  7.4698	
# 	11	270.2470		285.0388	
# 	12	103.6363		164.5470	
# 	13	409.1078		 39.9508	
# 	14	235.5357		225.1230	
# 	15	301.0560		140.3259	
# 	16	 92.1821		147.2298	
# 	17	167.5731		143.2204	
# 	18	164.6507		251.3754	
# 	19	345.8914		 94.1984	
# 	20	257.6814		 82.8147	
#Coord Manufacturers
# 	1	203.7793		105.8935	
# 	2	295.8298		111.1053	
# 	3	206.5918		215.7972	
#Coord Warehouse
# 	1	185.8463		271.9270	
# 	2	 81.2032		222.3357	
# 	3	190.0683		127.9361	
# 	4	285.4709		156.8719	
# 	5	186.6987		  0.4281	
# 	6	 41.5181		212.8183	
# 	7	235.9555		208.8481	
# 	8	429.9608		204.8741	
# 	9	 23.9079		 92.6558	
# 	10	266.6676		 70.5361	
#Coord Hybrids
# 	1	434.2369		283.5145	
# 	2	381.7804		141.6972	
# 	3	378.6646		 39.3332	
# 	4	138.9301		138.8989	
# 	5	333.8312		145.7476	
#Coord Retailers
# 	1	 61.5943		103.0610	
# 	2	145.9918		 90.1257	
# 	3	 74.4756		124.4705	
# 	4	201.6543		232.4701	
# 	5	358.3758		156.7170	
# 	6	207.2836		233.4641	
# 	7	399.2800		202.4756	
# 	8	360.2156		281.7334	
# 	9	 18.2951		262.7015	
# 	10	124.4534		142.7294	
# 	11	358.5424		215.1727	
# 	12	 66.2164		197.6245	
# 	13	 31.1634		107.1212	
# 	14	365.7733		128.3114	
# 	15	269.9345		218.4484	
# 	16	369.5524		228.1545	
# 	17	  3.2145		126.0770	
# 	18	208.4113		 16.6498	
# 	19	243.6490		182.3312	
# 	20	372.8040		282.5428	
# 	21	 57.6665		 69.1292	
# 	22	296.6213		 39.7422	
# 	23	100.8354		172.4588	
# 	24	 76.2857		234.6690	
# 	25	385.6390		 10.1023	
# 	26	239.6902		239.0854	
# 	27	438.8129		 82.2776	
# 	28	 76.0955		263.0103	
# 	29	409.1321		 59.2599	
# 	30	198.6884		215.7697	
#Coord Urban center
# 	1	380.4053		 50.4826	
# 	2	299.2360		242.3506	
# 	3	247.3714		 49.4150	
# 	4	 15.9880		 84.4601	
# 	5	363.5419		 13.4299	
# 	6	  3.6974		108.4850	

#Parameters

param I:=	10;	#Raw material
param S:=	20;	#Supplier
param M:=	3;	#Manufacturer
param H:=	5;	#Hybrid
param W:=	10;	#Warehouse
param C:=	30;	#Retailer
param P:=	3;	#Products
param T:=	5;	#Time period
param TV:=	2;	#Type of vehicle
param SZ:=	3;	#Size of vehicle
param UC:=	6;	#Urban centers

param CI_im:	1	2	3	:=	#Inventory holding cost/unit of raw material i at manufacturer m
1	3	3	3	 
2	3	3	3	 
3	3	3	3	 
4	3	3	3	 
5	3	3	3	 
6	3	3	3	 
7	3	3	3	 
8	3	3	3	 
9	3	3	3	 
10	3	3	3	 
; 
param CI_pw:	1	2	3	4	5	6	7	8	9	10	:=	#Inventory holding cost/unit of product p at depot w
1	3	3	3	3	3	3	3	3	3	3	 
2	3	3	3	3	3	3	3	3	3	3	 
3	3	3	3	3	3	3	3	3	3	3	 
;
param CP_pm:	1	2	3	:=	#Production cost of product p at manufacturer m
1	100.6362	101.4949	100.2319	 
2	105.2472	106.9670	104.2705	 
3	101.3457	103.3136	105.9035	 
;
param CT_ism:=	#Cost of raw material i per unit from supplier s to manufacturer m
[1,*,*]:1	2	3	:=
1	1485.1653	1498.1394	1310.4008	
2	1252.6450	1457.6600	1481.6532	
3	1364.6509	1442.8606	1466.5498	
4	1402.4037	1468.1567	1255.9757	
5	1317.8988	1319.3049	1280.1581	
6	1477.6783	1257.6099	1418.1403	
7	1267.8350	1340.1951	1354.5249	
8	1295.3511	1380.2535	1383.7479	
9	1329.2610	1434.2720	1290.0507	
10	1298.1271	1338.6278	1344.5940	
11	1301.5714	1479.6772	1457.0234	
12	1276.7192	1342.3715	1308.1677	
13	1362.7697	1319.0793	1375.4518	
14	1480.6508	1345.6278	1412.5321	
15	1398.9053	1437.9884	1265.4164	
16	1436.2059	1486.5690	1400.8899	
17	1321.8950	1418.0923	1428.0122	
18	1414.1125	1286.7325	1493.3689	
19	1488.8458	1356.1564	1398.4093	
20	1259.9071	1497.1586	1454.6863	
[2,*,*]:1	2	3	:=
1	1409.1256	1440.2712	1297.0074	
2	1326.9137	1311.5984	1399.0123	
3	1272.9762	1473.9025	1365.5690	
4	1361.2031	1276.1779	1421.2260	
5	1454.2235	1407.3876	1310.5056	
6	1446.3552	1286.4198	1456.8191	
7	1395.1764	1322.3433	1378.3108	
8	1407.2129	1314.6473	1461.7267	
9	1355.3135	1473.0844	1458.8672	
10	1274.8369	1411.5635	1327.6237	
11	1438.5133	1385.6580	1364.3997	
12	1473.8417	1264.3134	1389.3293	
13	1331.9778	1258.8184	1438.3796	
14	1390.4352	1473.5364	1399.5653	
15	1334.2585	1496.3049	1278.9285	
16	1263.1504	1433.1555	1342.7188	
17	1340.3662	1469.1331	1331.8234	
18	1472.2472	1410.9969	1332.2625	
19	1264.8832	1311.2773	1492.1033	
20	1351.3169	1290.0084	1324.5033	
[3,*,*]:1	2	3	:=
1	1474.8939	1291.2441	1444.4650	
2	1283.7162	1490.3484	1382.5514	
3	1260.7925	1482.7386	1339.5564	
4	1432.8553	1380.9270	1273.1455	
5	1276.5148	1287.3063	1290.3000	
6	1263.1890	1261.7533	1487.1071	
7	1272.8230	1377.0879	1279.6575	
8	1303.6970	1440.7681	1484.5337	
9	1367.4282	1251.4105	1499.8021	
10	1261.9434	1347.3619	1384.7642	
11	1472.9333	1455.7781	1402.3467	
